,outcome
0,0
1,1
2,1
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,1
31,1
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,1
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,1
56,0
57,1
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,0
67,1
68,1
69,1
70,1
71,0
72,1
73,0
74,1
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,0
85,1
86,0
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,1
102,0
103,1
104,1
105,0
106,1
107,1
108,1
109,0
110,0
111,1
112,0
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,0
122,1
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,0
136,1
137,0
138,1
139,1
140,0
141,0
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,1
150,0
151,1
152,0
153,1
154,0
155,1
156,0
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,1
169,0
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,1
189,0
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,0
210,0
211,0
212,1
213,1
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,1
222,1
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,1
238,1
239,0
240,1
241,0
242,1
243,1
244,0
245,0
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,1
254,1
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,0
267,1
268,1
269,0
270,1
271,0
272,1
273,0
274,1
275,1
276,0
277,0
278,0
279,0
280,0
281,1
282,1
283,1
284,0
285,1
286,1
287,0
288,1
289,1
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,1
299,1
300,0
301,1
302,0
303,1
304,1
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,0
319,1
320,1
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,1
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,1
342,0
343,1
344,0
345,0
346,1
347,0
348,0
349,1
350,1
351,1
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,1
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,1
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,1
387,1
388,0
389,0
390,0
391,1
392,1
393,1
394,0
395,1
396,0
397,1
398,1
399,1
400,0
401,0
402,1
403,0
404,1
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,1
424,0
425,1
426,0
427,1
428,0
429,1
430,0
431,0
432,1
433,1
434,0
435,1
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,0
446,0
447,1
448,0
449,1
450,0
451,0
452,1
453,0
454,0
455,1
456,0
457,1
458,1
459,0
460,1
461,0
462,1
463,0
464,1
465,0
466,0
467,0
468,1
469,1
470,1
471,0
472,0
473,0
474,1
475,0
476,1
477,1
478,0
479,0
480,0
481,1
482,1
483,1
484,1
485,0
486,0
487,1
488,0
489,1
490,0
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,0
501,0
502,1
503,0
504,1
505,0
506,0
507,0
508,1
509,1
510,0
511,1
512,1
513,0
514,1
515,1
516,1
517,1
518,0
519,0
520,0
521,0
522,0
523,1
524,1
525,0
526,0
527,0
528,0
529,1
530,1
531,1
532,0
533,0
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,0
543,0
544,0
545,1
546,0
547,1
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,1
559,0
560,0
561,0
562,1
563,0
564,0
565,1
566,1
567,1
568,0
569,1
570,1
571,1
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,1
581,0
582,1
583,0
584,1
585,0
586,1
587,0
588,0
589,0
590,0
591,1
592,1
593,1
594,0
595,1
596,0
597,0
598,0
599,0
600,0
601,1
602,0
603,1
604,0
605,1
606,0
607,1
608,0
609,0
610,1
611,0
612,1
613,1
614,0
615,0
616,1
617,1
618,0
619,1
620,0
621,0
622,1
623,0
624,0
625,0
626,0
627,0
628,1
629,1
630,1
631,1
632,0
633,0
634,1
635,1
636,0
637,0
638,1
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,1
652,0
653,1
654,1
655,1
656,0
657,0
658,1
659,1
660,0
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,1
669,0
670,1
671,1
672,1
673,0
674,1
675,1
676,0
677,0
678,1
679,0
680,1
681,0
682,0
683,0
684,1
685,1
686,1
687,1
688,0
689,0
690,1
691,0
692,1
693,1
694,0
695,1
696,0
697,1
698,0
699,0
700,1
701,0
702,1
703,0
704,1
705,0
706,0
707,0
708,0
709,0
710,1
711,0
712,0
713,1
714,1
715,1
716,1
717,0
718,0
719,0
720,0
721,1
722,0
723,1
724,0
725,1
726,1
727,0
728,0
729,0
730,0
731,1
732,0
733,0
734,0
735,1
736,0
737,0
738,1
739,0
740,1
741,0
742,0
743,0
744,1
745,0
746,0
747,0
748,0
749,1
750,1
751,0
752,0
753,1
754,1
755,0
756,1
757,1
758,0
759,1
760,1
761,1
762,1
763,1
764,1
765,0
766,0
767,1
768,1
769,1
770,0
771,0
772,1
773,0
774,0
775,0
776,0
777,1
778,1
779,1
780,1
781,0
782,0
783,1
784,0
785,0
786,0
787,0
788,1
789,0
790,1
791,0
792,0
793,0
794,1
795,0
796,0
797,1
798,1
799,0
800,0
801,0
802,0
803,0
804,0
805,1
806,0
807,0
808,1
809,1
810,0
811,1
812,1
813,0
814,0
815,1
816,1
817,0
818,0
819,0
820,0
821,1
822,0
823,0
824,1
825,0
826,0
827,1
828,0
829,0
830,1
831,1
832,0
833,0
834,1
835,1
836,0
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,0
847,0
848,0
849,1
850,0
851,1
852,1
853,0
854,0
855,0
856,0
857,0
858,1
859,1
860,0
861,1
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,1
876,1
877,1
878,0
879,0
880,0
881,0
882,1
883,0
884,0
885,0
886,0
887,0
888,1
889,0
890,0
891,0
892,0
893,1
894,1
895,1
896,0
897,0
898,0
899,1
900,1
901,1
902,0
903,0
904,0
905,1
906,0
907,0
908,0
909,1
910,0
911,0
912,1
913,0
914,1
915,0
916,1
917,0
918,0
919,0
920,1
921,0
922,1
923,1
924,0
925,1
926,0
927,0
928,1
929,1
930,0
931,0
932,1
933,1
934,0
935,0
936,1
937,1
938,0
939,1
940,0
941,1
942,0
943,1
944,0
945,1
946,0
947,0
948,0
949,0
950,0
951,1
952,0
953,1
954,1
955,1
956,0
957,0
958,0
959,1
960,0
961,1
962,0
963,1
964,1
965,1
966,0
967,0
968,0
969,1
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,1
978,0
979,0
980,0
981,0
982,0
983,1
984,0
985,1
986,1
987,1
988,0
989,0
990,0
991,1
992,1
993,0
994,0
995,0
996,0
997,1
998,1
999,1
1000,0
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,0
1008,0
1009,1
1010,0
1011,0
1012,1
1013,1
1014,0
1015,1
1016,0
1017,0
1018,1
1019,1
1020,0
1021,0
1022,1
1023,1
1024,1
1025,0
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,1
1033,1
1034,0
1035,0
1036,1
1037,0
1038,0
1039,0
1040,1
1041,1
1042,0
1043,1
1044,0
1045,1
1046,1
1047,1
1048,1
1049,0
1050,1
1051,1
1052,1
1053,0
1054,0
1055,1
1056,0
1057,1
1058,0
1059,1
1060,0
