,treatment
0,1
1,1
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,1
16,0
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,0
26,0
27,1
28,1
29,1
30,1
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,1
42,0
43,0
44,1
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,1
73,0
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,0
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,1
119,0
120,0
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,0
142,1
143,0
144,1
145,0
146,0
147,1
148,1
149,0
150,1
151,0
152,0
153,1
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,0
166,0
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,1
193,0
194,0
195,1
196,1
197,1
198,1
199,0
200,0
201,1
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,1
210,1
211,0
212,0
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,1
238,1
239,0
240,1
241,0
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,0
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,1
258,0
259,0
260,0
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,0
274,1
275,1
276,1
277,1
278,1
279,0
280,1
281,0
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,1
291,0
292,0
293,1
294,1
295,1
296,1
297,0
298,0
299,1
300,1
301,1
302,1
303,1
304,1
305,0
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,0
314,1
315,1
316,1
317,1
318,1
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,1
329,1
330,1
331,1
332,1
333,0
334,0
335,0
336,1
337,1
338,0
339,1
340,0
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,0
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,0
374,1
375,1
376,0
377,0
378,0
379,0
380,1
381,1
382,0
383,1
384,0
385,1
386,1
387,1
388,0
389,1
390,1
391,0
392,1
393,1
394,1
395,0
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,0
416,0
417,1
418,0
419,1
420,0
421,0
422,1
423,0
424,0
425,1
426,0
427,0
428,1
429,1
430,0
431,0
432,0
433,1
434,1
435,1
436,1
437,1
438,1
439,0
440,1
441,1
442,0
443,1
444,0
445,1
446,0
447,1
448,1
449,1
450,1
451,0
452,1
453,0
454,1
455,1
456,0
457,1
458,1
459,0
460,0
461,1
462,1
463,0
464,1
465,0
466,1
467,1
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,0
476,0
477,1
478,0
479,1
480,0
481,1
482,1
483,1
484,0
485,1
486,1
487,1
488,0
489,0
490,0
491,1
492,1
493,1
494,1
495,0
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,1
505,1
506,0
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,0
518,1
519,0
520,1
521,1
522,0
523,0
524,1
525,1
526,0
527,1
528,1
529,0
530,1
531,0
532,1
533,0
534,1
535,1
536,0
537,1
538,1
539,1
540,1
541,1
542,0
543,1
544,1
545,1
546,0
547,1
548,1
549,1
550,0
551,0
552,1
553,1
554,1
555,0
556,0
557,1
558,0
559,0
560,0
561,1
562,0
563,1
564,1
565,0
566,1
567,1
568,0
569,1
570,1
571,0
572,1
573,0
574,1
575,1
576,1
577,1
578,1
579,0
580,0
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,0
593,1
594,1
595,1
596,0
597,1
598,0
599,1
600,0
601,1
602,1
603,1
604,0
605,1
606,0
607,0
608,1
609,0
610,1
611,0
612,1
613,1
614,0
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,0
630,0
631,1
632,1
633,0
634,1
635,0
636,0
637,1
638,1
639,1
640,0
641,1
642,0
643,0
644,1
645,1
646,1
647,1
648,0
649,0
650,1
651,1
652,0
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,0
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,0
673,1
674,1
675,0
676,1
677,1
678,1
679,0
680,1
681,1
682,0
683,1
684,0
685,1
686,1
687,1
688,1
689,0
690,1
691,1
692,1
693,0
694,0
695,0
696,0
697,1
698,1
699,0
700,1
701,0
702,1
703,1
704,1
705,1
706,0
707,1
708,1
709,1
710,1
711,0
712,0
713,0
714,1
715,1
716,1
717,0
718,0
719,0
720,1
721,1
722,1
723,1
724,1
725,1
726,0
727,0
728,0
729,1
730,0
731,1
732,1
733,0
734,0
735,1
736,1
737,1
738,1
739,1
740,1
741,0
742,0
743,0
744,1
745,0
746,0
747,1
748,0
749,1
750,1
751,0
752,1
753,1
754,0
755,1
756,0
757,1
758,0
759,1
760,1
761,1
762,0
763,1
764,0
765,0
766,0
767,1
768,1
769,1
770,0
771,0
772,1
773,0
774,1
775,1
776,1
777,1
778,0
779,1
780,1
781,1
782,1
783,1
784,0
785,0
786,0
787,0
788,1
789,1
790,1
791,0
792,0
793,1
794,1
795,1
796,0
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,0
807,1
808,1
809,1
810,1
811,1
812,1
