,outcome
0,1
1,0
2,0
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,1
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,1
128,1
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,0
137,0
138,0
139,1
140,0
141,1
142,1
143,0
144,1
145,1
146,0
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,1
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,0
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,1
188,1
189,1
190,1
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,0
218,1
219,0
220,1
221,1
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,1
230,0
231,1
232,0
233,1
234,1
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,0
251,1
252,0
253,0
254,0
255,1
256,1
257,1
258,0
259,1
260,1
261,1
262,0
263,1
264,1
265,0
266,0
267,1
268,0
269,0
270,1
271,1
272,1
273,0
274,1
275,0
276,1
277,0
278,0
279,1
280,1
281,1
282,0
283,1
284,0
285,0
286,0
287,1
288,1
289,1
290,1
291,0
292,0
293,0
294,0
295,1
296,0
297,1
298,0
299,0
300,0
301,1
302,0
303,1
304,0
305,1
306,1
307,0
308,1
309,1
310,0
311,0
312,0
313,1
314,1
315,0
316,0
317,0
318,1
319,0
320,0
321,1
322,0
323,0
324,1
325,1
326,0
327,0
328,0
329,1
330,0
331,0
332,0
333,1
334,0
335,0
336,1
337,0
338,0
339,1
340,0
341,1
342,0
343,0
344,1
345,1
346,1
347,0
348,0
349,0
350,1
351,0
352,1
353,0
354,0
355,0
356,1
357,0
358,1
359,1
360,1
361,0
362,1
363,0
364,0
365,1
366,0
367,1
368,0
369,1
370,1
371,1
372,0
373,0
374,0
375,1
376,0
377,1
378,0
379,1
380,1
381,1
382,0
383,1
384,1
385,0
386,0
387,0
388,0
389,1
390,1
391,0
392,1
393,1
394,0
395,0
396,1
397,0
398,1
399,1
400,0
401,0
402,0
403,0
404,0
405,1
406,0
407,0
408,0
409,1
410,0
411,0
412,0
413,1
414,1
415,0
416,0
417,0
418,1
419,0
420,0
421,1
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,0
431,1
432,1
433,1
434,1
435,1
436,0
437,0
438,1
439,0
440,1
441,0
442,0
443,1
444,1
445,0
446,1
447,1
448,0
449,0
450,1
451,1
452,0
453,0
454,1
455,1
456,0
457,1
458,0
459,0
460,0
461,1
462,1
463,0
464,0
465,0
466,1
467,1
468,1
469,0
470,1
471,1
472,0
473,0
474,1
475,1
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,1
495,0
496,1
497,1
498,0
499,0
500,1
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,1
509,1
510,0
511,0
512,1
513,0
514,1
515,0
516,1
517,0
518,1
519,0
520,0
521,1
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,1
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,1
547,1
548,1
549,1
550,0
551,1
552,1
553,0
554,1
555,1
556,0
557,0
558,1
559,1
560,0
561,1
562,0
563,0
564,0
565,1
566,1
567,0
568,0
569,0
570,0
571,0
572,0
573,1
574,0
575,0
576,1
577,1
578,0
579,0
580,0
581,1
582,0
583,0
584,1
585,1
586,1
587,0
588,0
589,0
590,0
591,1
592,1
593,0
594,0
595,0
596,1
597,1
598,1
599,0
600,0
601,1
602,1
603,0
604,1
605,0
606,1
607,1
608,1
609,1
610,0
611,1
612,1
613,0
614,1
615,0
616,0
617,0
618,1
619,0
620,1
621,0
622,0
623,0
624,1
625,0
626,0
627,0
628,0
629,0
630,1
631,1
632,1
633,1
634,0
635,0
636,0
637,1
638,1
639,0
640,1
641,0
642,0
643,0
644,0
645,1
646,1
647,0
648,0
649,0
650,0
651,1
652,0
653,0
654,0
655,0
656,0
657,1
658,1
659,0
660,0
661,0
662,0
663,0
664,1
665,1
666,0
667,1
668,0
669,0
670,0
671,1
672,0
673,0
674,0
675,1
676,0
677,1
678,0
679,0
680,0
681,1
682,0
683,1
684,0
685,1
686,1
687,1
688,1
689,1
690,1
691,0
692,0
693,0
694,1
695,0
696,1
697,0
698,1
699,0
700,1
701,0
702,1
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,0
722,0
723,0
724,0
725,0
726,0
727,1
728,0
729,1
730,0
731,0
732,0
733,0
734,1
735,0
736,1
737,0
738,0
739,1
740,1
741,0
742,0
743,1
744,1
745,0
746,0
747,0
748,1
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,1
759,0
760,1
761,0
762,0
763,1
764,1
765,0
766,0
767,1
768,1
769,1
770,0
771,0
772,0
773,1
774,0
775,1
776,1
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,1
786,0
787,0
788,0
789,0
790,1
791,1
792,0
793,1
794,0
795,0
796,1
797,1
798,0
799,1
800,1
801,0
802,1
803,1
804,1
805,0
806,1
807,1
808,0
809,0
810,0
811,1
812,1
813,0
814,1
815,0
816,0
817,0
818,0
819,0
820,1
821,1
822,0
823,1
824,1
825,0
826,0
827,1
828,1
829,0
830,0
831,0
832,1
833,1
834,0
835,1
836,0
837,1
838,1
839,1
840,0
841,0
842,0
843,0
844,0
845,1
846,0
847,1
848,0
849,0
850,0
851,0
852,1
853,1
854,0
855,1
856,0
857,0
858,0
859,1
860,0
861,0
862,0
863,1
864,0
865,1
866,0
867,1
868,0
869,0
870,1
871,0
872,1
873,0
874,1
875,1
876,0
877,1
878,0
879,0
880,1
881,0
882,0
883,0
884,1
885,1
886,0
887,1
888,1
889,1
890,1
891,0
892,0
893,1
894,0
895,0
896,0
897,0
898,0
899,0
900,1
901,0
902,0
903,0
904,0
905,0
906,1
907,1
908,1
909,0
910,1
911,0
912,0
913,1
914,1
915,0
916,0
917,0
918,0
919,1
920,1
921,1
922,0
923,1
924,1
925,1
926,1
927,0
928,0
929,1
930,1
931,0
932,0
933,0
934,1
935,0
936,1
937,1
938,1
939,0
940,1
941,0
942,1
943,1
944,0
945,0
946,0
947,1
948,0
949,1
950,0
951,0
952,1
953,0
954,0
955,1
956,0
957,0
958,1
959,1
960,0
961,0
962,0
963,1
964,1
965,0
966,1
967,1
968,0
969,0
970,0
971,0
972,1
973,0
974,0
975,1
976,0
977,0
978,1
979,0
980,1
981,1
982,0
983,0
984,0
985,1
986,1
987,0
988,0
989,0
990,1
991,0
992,1
993,0
994,0
995,1
996,0
997,1
998,1
999,1
1000,0
1001,1
1002,0
1003,0
1004,1
1005,0
1006,0
1007,1
1008,0
1009,1
1010,1
1011,1
1012,0
1013,0
1014,0
1015,0
1016,0
1017,1
1018,0
1019,0
1020,0
1021,0
1022,1
1023,1
1024,1
1025,1
1026,0
1027,1
1028,0
1029,0
1030,0
1031,0
1032,1
1033,0
1034,0
1035,1
1036,0
1037,1
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,1
1045,0
1046,1
1047,0
1048,0
1049,1
1050,0
1051,0
1052,1
1053,1
1054,0
1055,0
1056,0
1057,1
1058,1
1059,1
1060,0
1061,0
1062,0
1063,1
1064,1
1065,1
1066,0
1067,1
1068,0
1069,1
1070,0
1071,1
1072,1
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,1
1082,0
1083,1
1084,1
1085,0
1086,0
1087,1
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,1
1095,0
1096,1
1097,0
1098,0
1099,0
1100,1
1101,1
1102,0
1103,0
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,0
1111,1
1112,1
1113,1
1114,1
1115,0
1116,1
1117,1
1118,0
1119,0
1120,0
1121,1
1122,0
1123,0
1124,1
1125,0
1126,0
1127,0
1128,1
1129,0
1130,0
1131,0
1132,1
1133,0
1134,0
1135,0
1136,1
1137,0
1138,1
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,1
1146,1
1147,0
1148,1
1149,0
1150,0
1151,0
1152,1
1153,0
1154,1
1155,1
1156,0
1157,0
1158,1
1159,0
1160,1
1161,1
1162,0
1163,1
1164,0
1165,1
1166,0
1167,0
1168,0
1169,1
1170,0
1171,0
1172,1
1173,0
1174,0
1175,1
1176,0
1177,0
1178,1
1179,0
1180,0
1181,0
1182,0
1183,1
1184,0
1185,1
1186,1
1187,0
1188,0
1189,1
1190,1
1191,0
1192,0
1193,1
1194,0
1195,1
1196,0
1197,1
1198,0
1199,1
1200,0
1201,1
1202,0
1203,1
1204,0
1205,1
1206,0
1207,0
1208,1
1209,1
1210,0
1211,0
1212,0
1213,1
1214,1
1215,0
1216,0
1217,0
1218,1
1219,0
1220,1
1221,0
1222,0
1223,1
1224,1
1225,1
1226,1
1227,0
1228,0
1229,1
1230,0
