,outcome
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,1
9,1
10,0
11,1
12,1
13,0
14,0
15,0
16,0
17,0
18,1
19,1
20,1
21,0
22,0
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,0
31,1
32,0
33,1
34,1
35,1
36,1
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,1
78,0
79,1
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,1
97,0
98,0
99,1
100,1
101,1
102,1
103,0
104,1
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,0
116,1
117,1
118,1
119,1
120,0
121,1
122,0
123,1
124,1
125,0
126,0
127,0
128,1
129,0
130,1
131,0
132,1
133,1
134,0
135,1
136,1
137,1
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,0
155,0
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,0
164,1
165,0
166,0
167,1
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,1
184,1
185,0
186,1
187,0
188,1
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,1
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,1
233,0
234,1
235,1
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,1
254,1
255,0
256,1
257,1
258,0
259,1
260,0
261,1
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,1
272,0
273,1
274,1
275,0
276,0
277,0
278,1
279,0
280,1
281,1
282,1
283,0
284,0
285,0
286,0
287,1
288,0
289,0
290,1
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,0
299,1
300,0
301,1
302,0
303,0
304,1
305,0
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,0
314,1
315,1
316,0
317,0
318,1
319,0
320,0
321,1
322,1
323,0
324,1
325,1
326,1
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,1
335,0
336,1
337,1
338,0
339,0
340,0
341,1
342,1
343,0
344,1
345,1
346,0
347,1
348,0
349,0
350,1
351,0
352,1
353,1
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,0
366,1
367,1
368,1
369,0
370,0
371,0
372,1
373,0
374,1
375,0
376,0
377,1
378,0
379,0
380,0
381,1
382,0
383,0
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,0
392,1
393,0
394,0
395,1
396,0
397,0
398,1
399,1
400,0
401,0
402,0
403,0
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,0
412,0
413,0
414,0
415,0
416,1
417,1
418,1
419,0
420,0
421,0
422,0
423,0
424,0
425,1
426,0
427,0
428,1
429,1
430,0
431,0
432,1
433,1
434,0
435,0
436,0
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,1
452,0
453,0
454,1
455,0
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,1
468,0
469,1
470,0
471,0
472,1
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,1
482,0
483,0
484,0
485,0
486,1
487,0
488,1
489,0
490,0
491,0
492,1
493,1
494,0
495,0
496,0
497,0
498,0
499,1
500,1
501,0
502,0
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,1
513,1
514,1
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,1
526,0
527,1
528,0
529,0
530,0
531,1
532,0
